epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26693,1.73671,5.01683,0.00588,0.0292,0.16667,0.01149,0.00446,2.07282,4.60363,0.00959,0.000147,0.000147,0.000147
2,16.3152,1.69653,4.92987,0.00543,0.0292,0.16667,0.01149,0.00446,2.07282,4.60363,0.00959,0.000336209,0.000336209,0.000336209
3,24.2743,1.73836,4.91619,0.00587,0.0292,0.16667,0.01149,0.00446,2.07282,4.60363,0.00959,0.000517656,0.000517656,0.000517656
4,32.5173,1.72478,4.78498,0.00508,0.68156,0.07692,0.11982,0.09991,1.33184,3.45682,0.00486,0.000553073,0.000553073,0.000553073
5,40.4555,1.55928,3.96035,0.0053,0.68156,0.07692,0.11982,0.09991,1.33184,3.45682,0.00486,0.00054143,0.00054143,0.00054143
6,48.2978,1.64878,3.98672,0.00534,0.68156,0.07692,0.11982,0.09991,1.33184,3.45682,0.00486,0.000529788,0.000529788,0.000529788
7,56.3117,1.6986,4.01144,0.00471,0.68156,0.07692,0.11982,0.09991,1.33184,3.45682,0.00486,0.000518146,0.000518146,0.000518146
8,64.6019,1.54542,3.85332,0.00508,0.468,0.1912,0.18483,0.08553,1.81879,3.0578,0.0081,0.000506503,0.000506503,0.000506503
9,72.6276,1.43279,3.32785,0.00435,0.468,0.1912,0.18483,0.08553,1.81879,3.0578,0.0081,0.000494861,0.000494861,0.000494861
10,80.5766,1.51861,3.26856,0.00445,0.468,0.1912,0.18483,0.08553,1.81879,3.0578,0.0081,0.000483218,0.000483218,0.000483218
11,88.3813,1.45001,3.29616,0.00439,0.468,0.1912,0.18483,0.08553,1.81879,3.0578,0.0081,0.000471576,0.000471576,0.000471576
12,96.2462,1.50571,3.20798,0.00448,0.46903,0.25275,0.2141,0.12254,1.55308,2.74795,0.00593,0.000459934,0.000459934,0.000459934
13,104.464,1.34505,2.94535,0.00356,0.46903,0.25275,0.2141,0.12254,1.55308,2.74795,0.00593,0.000448291,0.000448291,0.000448291
14,112.483,1.34579,2.98417,0.00389,0.46903,0.25275,0.2141,0.12254,1.55308,2.74795,0.00593,0.000436649,0.000436649,0.000436649
15,120.266,1.39916,2.91963,0.0044,0.46903,0.25275,0.2141,0.12254,1.55308,2.74795,0.00593,0.000425006,0.000425006,0.000425006
16,128.256,1.32924,2.59852,0.00359,0.36941,0.3627,0.21471,0.15485,1.2165,2.56833,0.00465,0.000413364,0.000413364,0.000413364
